2:39 PM - 11 Dec 2015|Guys join us @spiritpgh makeout gingerbread house 20 min https instagram com p _KxsgEr74Y|2|0
11:33 AM - 11 Dec 2015|BringbackMST3K 96 funded We 10 hours left - it's getting crazy pic twitter com zXReuCnfAq|527|654
7:24 AM - 11 Dec 2015|Newswire Harrison Ford also doesn give fuck http www avclub com article harrison-ford-also-doesnt-give-fuck-229645 utm_medium RSS utm_campaign feeds|1|1
8:43 PM - 10 Dec 2015|How come Star Wars didn't kickstarter reboot Hardly seems fair|21|122
8:24 AM - 9 Dec 2015|Michael B Jordon young creed getting KO'd real But got That's called guts pic twitter com yFo3PVmvhA|7.8K|7.3K
6:45 PM - 10 Dec 2015|Sleater-Kinney covers The Ramones' 'Merry Christmas I Don't Want To Fight Tonight ' http ow ly VJZhg pic twitter com IqHb8Uwfke|39|51
5:43 PM - 10 Dec 2015|Watch @sharonjones @The_DapKings play 8 Days Of Hanukkah #tinydesk http n pr 1lS5Lic pic twitter com jfWR0AQbpe|28|49
12:12 PM - 10 Dec 2015|I give The age fact Fanboys hard-headed delusional I tired entire conversation|20|42
9:08 AM - 10 Dec 2015|@kickstarter staff pick http churchviewfarmpgh us7 list-manage2 com track click u 69ddb685aed4ff69442daf0d8 id 3880d1afc2 e 2c0bb1fe31|3|5
6:24 AM - 10 Dec 2015|I'm excited We'll set 11-6 PM Who coming https twitter com AltHistories status 674598167992786944|1|1
5:47 AM - 10 Dec 2015|And still need holiday cards @AltHistories ones big hit last year A would buy http alternatehistories com collections greeting-cards|1|1
9:04 PM - 9 Dec 2015|@AltHistories cards supersedes #Christmas malaise twisted humor Thanks @TheLibraryStore carrying pic twitter com Z1zA0P7mK4|2|2
6:38 PM - 9 Dec 2015|Mad Max's George Miller charmingly stumping well-deserved Oscar nominations @kylebuchanan http www vulture com 2015 12 george-miller-on-why-mad-max-deserves-oscar-nods html mid twitter_nymag|7|22
5:38 PM - 9 Dec 2015|Saturday cookies gifts beer friends good vibes beer get holiday shopping done cookies pic twitter com 4BinBERCLm|1|3
5:37 PM - 9 Dec 2015|The I follow Twitter conversation never little weird|26|65
2:49 PM - 9 Dec 2015|60 HRS LEFT #BringBackMST3K Excited @danharmon @justinroiland @robschrab @danagould writing new season http mst3k com kickstarter update18|126|186
2:41 PM - 8 Dec 2015|Tom Waits' birthday party BYOTCF Bring Your Own Trash Can Fire|45|199
7:33 PM - 8 Dec 2015|Please watch new #BillyOnTheStreet segment I might killed https www youtube com watch v A4r5Nzkma6E|67|293
1:20 PM - 8 Dec 2015|Thanks million make 4 mil We're close getting 12 eps #MST3k You help #bringbackmst3k com pic twitter com XQ1qlHIhBN|19|28
8:35 AM - 8 Dec 2015|danismm Bowman 1951 Jets Rockets And Spacemen Bubble Gum Cards http tmblr co ZUhJRs1zYZ40X|4|5
8:08 AM - 8 Dec 2015|What grounds suggesting The Force Awakens anticipated Phantom Menace|5|14
10:32 AM - 7 Dec 2015|This guy awesome AWESOME alt history maps posters case made anyone's nice list -- @AltHistories|1|1
8:58 PM - 6 Dec 2015|Self Employment Struggle Tote Bag ModestoStudios via @Etsy http etsy 1XO4Kcy via @Etsy|1|2
7:08 PM - 6 Dec 2015|The final In Bed Ten year FRIDAY Be @spiritpgh 6pm ready dance https www facebook com events 565497336936839|3|2
5:49 AM - 4 Dec 2015|One last BIG THANK YOU three sponsors Thank Wildcard NEXTpittsburgh Yelp Pittsburgh Your http fb Tf29OJhB|1|3
10:41 PM - 3 Dec 2015|Only 1 reason @callmeluckyfilm won't Best Doc Academy imagined @crimmins @bcgoldthwait podium peed little|7|22
5:24 AM - 4 Dec 2015|Our amazing Ben turned Whiskey Garden Christmas tree lot benefitting homeless children's education fund pic twitter com bYQRSiRGfC|16|17
10:42 PM - 3 Dec 2015|Toshiro Mifune Turned Down Obi Wan Kenobi Darth Vader Roles Says Daughter http goo gl hf9O6e pic twitter com U66VhnaSPa|93|75
8:04 PM - 3 Dec 2015|Someone give George Lucas hug super-depressing Force Awakens press tour http vult re 1XE9n8O pic twitter com KYacWs6maX|11|27
7:00 PM - 3 Dec 2015|Shakespeare's Gilligan's Island http popsonnet tumblr com post 134485725775 gilligans-island pic twitter com UkZ5trZq0T|41|35
5:42 PM - 3 Dec 2015|It's almost film noir Come hear crazy grab bag tunes @KellysBarLounge 1am pic twitter com 7RrzieovI6|1|0
3:01 PM - 3 Dec 2015|The new Wiz huge success long cast people talented Michael Jackson Richard Pryor Diana Ross|26|69
11:21 AM - 3 Dec 2015|Last-minute I'll spinning tunes @KellysBarLounge tonight 9pm-1am Come hang|1|1
6:04 PM - 2 Dec 2015|Tomorrow's New York Daily News front page GOD ISN T FIXING THIS pic twitter com NKEMDnSsCQ|1.9K|1.3K
7:26 PM - 2 Dec 2015|Matt Buchholz Good Starting Dance Party With exhaustive knowledge music film http tmblr co ZPSvfj1zDCPUd|3|2
3:09 PM - 2 Dec 2015|A list every member Congress contact Write call demand stricter gun control https twitter com people status 651781574288146432|198|250
12:54 PM - 2 Dec 2015|Feels like world breaking|715|1.4K
12:46 PM - 2 Dec 2015|This facility targeted today's shooting https twitter com InlandRegional status 671753208662888448|53|23
12:55 AM - 1 Dec 2015|Gillian Anderson signed viral tweet fed listening men pic twitter com G2dsTsXkRw|4.8K|7.3K
3:31 PM - 30 Nov 2015|East Liberty residents want public hearing future Enright Parklet http wesa fm post penn-plaza-rezoning-proposal-heads-city-council-neighbors-call-public-hearing-save-park pic twitter com d34vev2wOc|5|2
10:36 AM - 30 Nov 2015|MONDAY MAD-NESS @PattonOswalt help #BringBackMST3K @feliciaday evil henchman TV Son TV Frank http mst3k com kickstarter update11|234|257
7:58 AM - 30 Nov 2015|I think lot maker-friends feel way https twitter com AltHistories status 668847238211350528|1|1
6:24 PM - 29 Nov 2015|It hilarious watch people try decode huge mystery Adele didn't give away music free people paid|78|152
11:28 AM - 28 Nov 2015|third guy first 2 people see Superman probably conclude birdlike plane resume boring lives|392|861
8:10 AM - 28 Nov 2015|She blocked Twitter We agree zilch But @sadydoyle's take FRANKENSTEIN REVELATORY Please read https twitter com sadydoyle status 669921730190827520|101|325
5:17 AM - 28 Nov 2015|laying bed watching Daniel Tiger shopping @althistories https instagram com p -oT54WzAEV9YwKYpStedK7TVbiISu__s8f2pI0|2|2
3:17 PM - 27 Nov 2015|We'll never back away providing care safe supportive enviro mil ppl rely @PPRockyMountain http ppact io 1Xm5HZa|2.4K|3.8K
10:41 AM - 27 Nov 2015|Shop local loved ones w Holiday Market Guide ft @HandmadeArcade @IMadeItMarket @RAWPittsburgh http ow ly Va7XZ|4|3
7:04 AM - 27 Nov 2015|We're open normal hours 11am-7pm want break #BlackFriday Come @lvpgh small business shopping #shoplocal|4|3
7:06 PM - 25 Nov 2015|I've got geek bit #MST3K #TurkeyDayMarathon viewing details @ShoutFactory @JoelGHodgson @RiffTrax http mst3k com events turkeyday15 wheretowatch|2|7
12:31 PM - 24 Nov 2015|This take hot may little rough I needed get one chest http buff ly 1XcYDOt|11|7
7:13 AM - 24 Nov 2015|Congrats buds @Wildcardpgh making @mashable's list great local shops US http mash 1ShKWHu|2|4
5:55 PM - 23 Nov 2015|@FeliciaDay joining 'Mystery Science Theater 3000' @MST3K revival http ow ly V02tS pic twitter com 25rO0AOWAG|57|139
