7:37 PM - 7 Dec 2015|one's hands among unspeakable foundations ribs pelvis world fearful thing|28|36
7:37 PM - 4 Dec 2015|I can't feel face I'm|333|531
8:39 PM - 6 Dec 2015|You can't trust mainstream media that's I get news giant dreams|78|176
7:31 AM - 8 Dec 2015|Dear Santa I bad boy I smoke chew bad things I hope interfere I like airship Paul VA1910|171|198
4:14 AM - 6 Dec 2015|At 2 o'clock morning Sun Moon replaced eyeballs|64|101
7:34 PM - 30 Nov 2015|This app would like Have offline access See ur contact list Hold hand Kiss neck Start family u Get old together|1.2K|1.8K
4:55 PM - 29 Nov 2015|date ME ur profile says im always adventure GIRL ya ME throws shovel tonight go cenTER OF THE EARTH|9|28
5:05 PM - 27 Nov 2015|AN INTERNET STAR IS BORN holds small baby w iphone i'm twash I would like thank advance one million retweets|35|158
7:43 AM - 28 Nov 2015|I Acting Ensemble pic twitter com W1d05KAq5L|1|6
11:35 PM - 27 Nov 2015|If like cry listening Adele songs might also like talking therapist emotional problems|99|256
9:36 AM - 25 Nov 2015|Stephen Sondheim @BarbraStreisand receive 2015 Presidential Medal Freedom @BarackObama http www americantheatre org 2015 11 25 stephen-sondheim-receives-2015-presidential-medal-of-freedom|6|3
1:23 AM - 23 Nov 2015|To short whale A SPOUTING FISH WITH A HORIZONTAL TAIL There|8|23
10:25 AM - 19 Nov 2015|MY ORGANS HAVE NO IDEA WHO THEY'RE WORKING SO HARD TO KEEP ALIVE BUT IT'S ME BERNIE SANDERS|162|275
7:28 PM - 17 Nov 2015|Hola I'm Se Coconut children cracks head pavement Children scream Drink Drink I'm full vitamins minerals|1.9K|4.5K
5:07 PM - 19 Nov 2015|women's side deodorant aisle Ah A Bunny's Tampon men's side Half-Man Half-Dragon With A Boner Running Wild On The Island Of Dr Moreau|365|879
11:30 AM - 16 Nov 2015|Being deeply loved someone gives strength loving someone deeply gives courage Lao Tzu #quotesfromsiti|5|6
2:42 PM - 16 Nov 2015|Lloyd Suh Katori Hall offer latest teaching moments race-conscious casting http www americantheatre org 2015 11 16 on-the-rights-of-playwrights-and-white-tears|5|6
