9:55 PM - 7 Dec 2015|Nearly 100 injured two trains collide Palwal Haryana http bit ly 1NHtkRo pic twitter com dPZD84R57s|11|2
11:57 PM - 6 Dec 2015|@airasiain drenched documents didn't even care call back #AirAsiaFail @tonyfernandes @AirAsia https twitter com SumonChakraVIEW status 673143731973943297|3|0
2:12 PM - 2 Dec 2015|Your thoughts steps take stop carnage Your prayers forgiveness nothing -|23K|22K
12:04 AM - 28 Nov 2015|Runners make biggest mistake clocking miles quality running poor @abhiman1987 http iexp iFz209623|7|7
11:27 PM - 27 Nov 2015|Dear @Olacabs shared expensive full Defeats purpose @WeAreBangalore pic twitter com snMvDiMYB5|4|0
5:09 AM - 24 Nov 2015|Agreeing Bollywood hero supporting real life hero #CompareKar #BeWise|2|0
7:24 AM - 23 Nov 2015|guests come pic twitter com t7aCtLHfjP|76|48
3:55 AM - 23 Nov 2015|What I studied Microprocessors C C Html CSS Dbms What I PPTs Excel Sheets|1|2
12:56 AM - 19 Nov 2015|#AngryIndianGodesses gagged Censor Board http dnai d2bI pic twitter com BGd3ZReHXE|6|8
10:02 PM - 18 Nov 2015|James Bond Mnmnmnmn Censor Board Hey long kiss JB She's girlfriend CB No 50 cut JB Sigh She's Half Girlfriend|440|391
9:41 PM - 18 Nov 2015|Spectre Sanskar CBFC shortens film's kissing scenes Twitter responds #SanskariJamesBond http bit ly 1T04ukr pic twitter com 3WQVEmH6sQ|188|113
