12:57 AM - 10 Dec 2015|Salman Khan Scotch aa gayi Driver Yes SK Chicken Water Soda D Yes SK Then what's left Driver Just-ice SK LOL Hi5|827|423
12:51 AM - 10 Dec 2015|Salman khan suffered lot last 13 years could even marry says Subhash Ghai #facepalm|97|40
12:38 AM - 10 Dec 2015|AB de Villiers solve wicket-keeper problem Proteas Test team He also drive bus pack bags massage|109|79
1:41 AM - 10 Dec 2015|Indian judicial system golden rule 'what happened 2002 stays 2002' #SalmanVerdict #KakaVerdict|860|498
1:47 AM - 10 Dec 2015|Failures 26 11 #SheenaBora #Salman show deep rot Mumbai Police Need bring top IPS officers state cadres clean-up|309|188
12:31 AM - 10 Dec 2015|Sanjay Dutt changed relationship status 'forever alone applying parole' #SalmanVerdict|26|22
12:32 AM - 10 Dec 2015|Okay I admit I driving Salman Khan's car night|91|88
8:25 PM - 9 Dec 2015|When I read Kejriwal's tweet 2012 I thought thanking CAG pic twitter com bIzlukeSiY|160|53
3:13 AM - 9 Dec 2015|Donald trump says ban Muslims US waiting Hollywood actors return Oscars protest|320|145
6:08 PM - 8 Dec 2015|#NationalHerald case 'Not afraid I Indira Gandhi's daughter-in-law ' says Sonia Gandhi My #cartoon pic twitter com RarQzQ1V9X|920|425
12:44 AM - 9 Dec 2015|Shutting parliament everyday hurt image Let law decide let parliament work https twitter com Tehelka status 674508447522557952|35|36
11:28 PM - 7 Dec 2015|Meaning My mother law scary nothing scares Or new age feminist tu jaanta nahi Mera https twitter com incindia status 674111362771976192|1.3K|1.1K
1:17 AM - 7 Dec 2015|So learned ever South Africa less 200|16|11
11:57 PM - 6 Dec 2015|RT If You Want Me To Take 5 Wicket Haul #IndvsSA #IndvSA|76|91
9:39 AM - 1 Dec 2015|#ChennaiRains Emergency helpline numbers Live updates http goo gl bwJTqE pic twitter com X03gxykV8Z|1.2K|305
10:05 AM - 23 Nov 2015|While others returning award protest rising intolerance shri Aamir Khan saab start attending award function protest|1.5K|1.1K
12:18 AM - 24 Nov 2015|Irony Both #AamirKhan n SRK lives Mumbai - Mumbai Riots - Mumbai Blasts - Mumbai 26 11 None leave Mumbai On Dadri All want leave India|1.4K|901
1:05 AM - 24 Nov 2015|At least Amir Khan listens wife Sigh|90|98
3:00 AM - 23 Nov 2015|Last time words said Rakhi Sawant kissed @MikaSingh D https twitter com htTweets status 668743332021927936|172|65
6:04 AM - 22 Nov 2015|Every time Robert Vadra trends I open locker check registration documents house|1.2K|670
3:34 AM - 19 Nov 2015|Ooooh scared Is threat Or warning Or sweet thoughtful https twitter com sirbinny status 667299845732864001|180|292
11:17 PM - 18 Nov 2015|Prashant Kishore Helped BJP win Lok Sabha '14 Helped Mahagathbandhan win Bihar '15 Now help Congress retain deposits UP '17|427|282
2:58 AM - 18 Nov 2015|#SanskariJamesBond Played Alok Nath Nath Seven|646|566
