5:03 PM - 11 Dec 2015|December 11th 2015 pic twitter com hoNI2o9ofV|786|1K
5:11 PM - 11 Dec 2015|Is late bring tissues extra credit|929|1.3K
4:43 AM - 11 Dec 2015|How many times nose going bleed today daily challenge|1|1
6:03 PM - 11 Dec 2015|every day pic twitter com T17qGYdRYr|4.1K|8.8K
6:19 PM - 11 Dec 2015|WANT pic twitter com Qde0sF8QO1|2K|3.4K
6:20 PM - 11 Dec 2015|WHO DID THIS pic twitter com lzUW1d5a65|909|1.6K
6:30 PM - 11 Dec 2015|feminism joke pic twitter com aByD51LAYY|633|694
6:51 PM - 10 Dec 2015|FEMINISM IS NOT A DIRTY WORD FEMINISM IS NOT A DIRTY WORD FEMINISM IS NOT A DIRTY WORD FEMINISM IS NOT A DIRTY WORD|25|43
7:05 PM - 8 Dec 2015|This made day pic twitter com rC1o42EM2N|5.6K|11K
6:31 PM - 10 Dec 2015|straight boys even surviving pic twitter com CcG3uNXt2d|2.4K|6.3K
8:19 PM - 27 Nov 2015|I need femism sorry time care men murdering people abortion clinics know starbucks changed CUP DESIGN|2K|3.3K
7:08 AM - 8 Dec 2015|Me social situation pic twitter com kkDZ0NIkfM|3.2K|5.7K
3:59 AM - 8 Dec 2015|How horrible Voldemort nowhere near bad https twitter com BBCNewsbeat status 674170911344455680|220K|200K
5:13 AM - 8 Dec 2015|mornings gross want part|2.1K|3.3K
4:57 AM - 8 Dec 2015|I need ask Kostic fuck he's always yelling I get you're saying even don't make deaf|1|1
5:11 PM - 6 Dec 2015|lost motivation care christmas|868|892
9:20 AM - 5 Dec 2015|There's really dark deeply routed sadness microwaved s'mores|366|1.6K
1:50 AM - 4 Dec 2015|nat king cole like nat king cool|1.6K|4.3K
7:12 PM - 3 Dec 2015|I regret nearly everything I ages birth however old I yesterday|2.2K|4.6K
9:02 PM - 3 Dec 2015|love math teachers put question marks tests cause m like yeah|4.8K|9.2K
