8:23 PM - 11 Dec 2015|Why many people social media want make sure women don't like talk enjoy much|222|407
8:36 PM - 11 Dec 2015|I glad I know https twitter com mymodernmet status 624245388812414976|121|225
2:02 PM - 5 Dec 2015|What making feel bad Is Twitter Close Twitter Is December Close December Visit July Bring hat Rest|107|249
8:37 AM - 7 Dec 2015|NYT vs Vulture Interpreting female sexuality Jessica Jones pic twitter com hoij3gI6Cd|24|27
8:09 PM - 4 Dec 2015|ME I'm hungry Wanna get sandwich GORE VIDAL It's hard stand holding weight I know ME So sandwich|12|97
7:07 AM - 29 Nov 2015|late pic twitter com oE8ZjHSgNR|142|265
6:14 PM - 2 Dec 2015|I can't believe I'm saying I'm impressed New York Daily News Wow pic twitter com YXNai5TIRh|3K|2.8K
4:49 PM - 2 Dec 2015|I've tweeted gets truer every goddamned day #GunControlNow pic twitter com 8hKR7KnmzY|7|13
12:17 PM - 2 Dec 2015|UPDATE Days far 2015 336 Mass shootings far 2015 352 pic twitter com M6jUg8jb1n|2.3K|883
10:26 AM - 2 Dec 2015|Important link keep hand next time someone tells gender hard-wired http wapo st 1LOzZrA pic twitter com xZztehDMfx|43|78
10:53 PM - 27 Nov 2015|Me watching Jessica Jones WTF ALL CHARACTERS ARE WOMEN THE MEN ARE EITHER BAD OR EYE CANohh Okay Ah So that's feels like|15K|21K
2:14 PM - 28 Nov 2015|Instead talking shit Syrian refugees start vetting white male Americans #needanewprofile pic twitter com 9FSlGA7WQ4|501|700
3:30 PM - 27 Nov 2015|obligatory tweet deranged white men strict screening process get guns Syrian children enter America|384|484
10:20 AM - 24 Nov 2015|If enjoyed good book you're woman critics think you're wrong Jennifer Weiner http gu com p 4ef3v stw|26|10
11:00 PM - 21 Nov 2015|Don worry right wing crazies US screens #SyrianRefugees far thoroughly gun owners shoot schools theaters|115|109
7:27 PM - 16 Nov 2015|AMERICAN HORROR STORY Facebook Paris|60|189
10:05 AM - 16 Nov 2015|The long short ignorance ruin us Logic empathy must win day burn|67|99
1:36 PM - 14 Nov 2015|Someone asked how-to-find-agent advice The best I Find books comps read acknowledgments see thank|8|15
