8:21 PM - 10 Dec 2015|Climb mountain see world world see #GoodMorning|5|3
2:46 AM - 9 Dec 2015|Breakdowns create breakthroughs|176|317
5:12 AM - 9 Dec 2015|All girls car allowed girl driving male allowed Matlab wife take car 4 empty seats hubby #Logic|6|10
5:07 AM - 9 Dec 2015|Next IIM entrance question Female driver picking male Delhi Tues 7 58 pm odd number car legal 100 marks|108|50
4:48 AM - 9 Dec 2015|Breaking News Delhi Govt announces anyone remember exemptions #OddEvenFormula exempted|50|34
3:22 AM - 4 Dec 2015|Considering Kejriwal IITian I expecting complex rule like If square root number divided Sin 30 Log|411|230
7:18 AM - 4 Dec 2015|Wanted make Mumbai Shanghai building public infrastructure Ended making Delhi Beijing imposing alternate car policy|67|68
3:48 AM - 2 Dec 2015|100 bath ki 1 bath - motto winters|34|25
4:46 PM - 1 Dec 2015|A half-truth cowardly lies|301|656
3:08 AM - 30 Nov 2015|At bottom application says Sign I wrote Sagittarius|6|6
6:35 AM - 29 Nov 2015|#BajiraoMastani looks like it's rewrite history It's #JodhaAkbar steroids @RanveerOfficial @deepikapadukone|209|416
4:40 AM - 29 Nov 2015|Me- moisturizer dena She- opens handbag starts searching winters end keeps searching Me- ab sunscreen chahiye|58|41
6:22 AM - 29 Nov 2015|I know Smriti Irani made HRD Minister She IIT IIM NIT IIIT AIIMS even IIN name|293|185
12:53 AM - 29 Nov 2015|Girl Babe you're hot heart stopped IT service guy Ek baar restart karke dekho|157|91
12:30 AM - 29 Nov 2015|It's called blast past sometimes blow present future|24|34
10:38 AM - 26 Nov 2015|Nitish banning alcohol Why Because it's social evil seems entertaining harmful long run Somewhat like Lalu|309|295
8:02 PM - 25 Nov 2015|Farah Khan living proof tolerant India friends guy slapped Husband ain't easy|191|124
11:26 PM - 24 Nov 2015|Time waits man us wait time Conclusion- time woman|7|2
6:49 AM - 23 Nov 2015|Karan Thapar close relationship Pakistan president Asif Ali Zardari wife Benazir Bhutto' #NDTVexposed 9 n|164|70
6:26 AM - 23 Nov 2015|Congress Digvijaya Singh n #NDTVexposed reporter Amrita Rai love Wedding Thanks Digvijaya He didn't blame RSS 5 n|193|83
6:23 AM - 23 Nov 2015|Corrupt reporters NDTV Barkha dutt Vir sanghvi reporters #NDTVexposed caught red handed Radiagate scandal 2010 4 n|256|110
6:20 AM - 23 Nov 2015|Barkha Dutt converted Muslim marriage separatist Haseeb Drabu Still kept Hindu name don't know #NDTVexposed 3 n|397|189
6:18 AM - 23 Nov 2015|Nidhi razdan Another high profile anchor #NDTVexposed She girlfriend Omar Abdullah divorced wife Payal mother two 2 n|216|79
6:17 AM - 23 Nov 2015|Sonia Singh #NDTVexposed reporter wife RP N Singh congress MP Uttar Pradesh frequently seen anti-BJP Propaganda 1 n|289|114
8:44 AM - 23 Nov 2015|Dear Aamir Khan With due respect wife K K Kiran needs afraid anyone SRK entire India|129|89
