2:31 PM - 11 Dec 2015|Just saw German dude wearing parka swim trunks case anyone looking reason racist Germans|2|15
2:47 PM - 7 Dec 2015|watch Stand By Me backwards kids probably murdering dead body putting leaches nutsacks|47|106
8:55 AM - 7 Dec 2015|I outraged OUTRAGED Grammy nominations I elaborate I find|9|57
9:57 AM - 4 Dec 2015|GOOD COP stop right FLIP PHONE COP opening phone hold second let put number hold one minute|15|48
10:13 AM - 30 Nov 2015|For people asking Karate horse problem flutes also handsome Answer main problem exist|11|82
5:42 PM - 27 Nov 2015|How many doses Plan B I need third trimester|20|129
8:25 AM - 24 Nov 2015|favorite sex move called journaling friends making love stay home write swears journal|33|123
9:59 AM - 23 Nov 2015|Thought I saw Oscar Mayer Wienermobile turned generic brand wienermobile|3|8
8:55 AM - 17 Nov 2015|Lil' Kim implies existence larger Kim|1.5K|3.1K
8:24 PM - 15 Nov 2015|Just idea tweet bad I didn want risk tweet drafts may someday get hacked|2|11
