10:49 PM - 11 Dec 2015|mark u can't thousands children buddy pic twitter com jyZ2ciEjkd|99|351
3:47 PM - 11 Dec 2015|Rihanna 2nd annual Diamond Ball pic twitter com GcoOoL09Kc|191|206
10:00 PM - 11 Dec 2015|crazy looking ocean sky realizing wow dont know anything soooo small know nothing small|7.8K|9.3K
2:20 PM - 11 Dec 2015|Looking forward playing songs @LIVE105's #NotSoSilentNight later pic twitter com keXyKmDPl1|263|1K
2:23 PM - 11 Dec 2015|The Best Morning In news Toy Story 20 years old that's terrifying pic twitter com uE24kY24PI|1.1K|3.5K
8:14 PM - 10 Dec 2015|This Arnold He broke leg saving handicapped child forest fire True hero 10 10 inspirational dog pic twitter com bijCeHeX4C|1.5K|3.4K
4:37 PM - 11 Dec 2015|feel like people dont insomnia never v good grasp onion|2|5
7:37 PM - 8 Dec 2015|Most iconic moment VS Fashion Show history one else could ever pic twitter com 99uRPpysKx|2.6K|3.5K
8:34 AM - 11 Dec 2015|o im racist huh pulls phone would racist BLACK FRIEND ASIAN FRIEND would RACIST rank ethnic friends like|22|134
2:55 PM - 11 Dec 2015|The top 3 US airlines banned hoverboards http bit ly 21W7TGC pic twitter com fuXrWUYC39|42|76
1:31 PM - 7 Dec 2015|imagine ur mum pregnant 9 months much pain giving birth n u turn racist homophobic sexist waste|1.4K|1.7K
2:52 PM - 11 Dec 2015|We Outs Here Decorating Making Hella Mess pic twitter com NL3IU0bxpO|60|282
2:40 PM - 11 Dec 2015|I've gone toe toe w everyone favorite male MC's To undermine skill diversity MC actually comical @ point|6K|9.8K
2:45 PM - 11 Dec 2015|I saw Bossip retweeting ignorance I figured I'd put Lol The greats give respect The great journalists well|3.3K|5.8K
2:52 PM - 11 Dec 2015|If male rapper tracks w Wayne Jay Eminem Kanye etc going ROUND 4 ROUND he'd b hailed GREAT well Jealousy disease|5.3K|9.1K
2:51 PM - 11 Dec 2015|FDA Approves Device To Stop Bleeding From Gunshot Wounds https amp twimg com v 0e59cfdb-8239-4512-bfd9-018ab1fa623e|146|202
2:50 PM - 11 Dec 2015|really saying trans women need look cis make The Cis uncomfortable|3|5
2:50 PM - 11 Dec 2015|someone says shes educating w trans community shes saying rly gross shit abt trans women don't wear makeup etc|2|9
2:48 PM - 11 Dec 2015|lmao fuck ridiculous digusting https twitter com cosmopolitan status 675076423200174081|14|18
12:02 PM - 11 Dec 2015|malala yousafzai pakistani activist female education youngest nobel prize laureate date pic twitter com wBblPY57te|21|33
10:27 AM - 11 Dec 2015|iranian women protesting forced hijab 1979 pic twitter com z857DjTsP5|35|47
10:35 AM - 9 Dec 2015|So happened pic twitter com RMg3oI7Dvj|58K|74K
12:04 PM - 11 Dec 2015|also thank @SophieNewt bean bag genuine doom pic twitter com SysWGK2vgJ|617|2.4K
12:03 PM - 11 Dec 2015|The @SFPD murder brother #MarioWoods This new angle shows clearly lunge reach anyone pic twitter com ek73vomc2S|405|208
12:03 PM - 11 Dec 2015|Please Vote For Burned Sandals|322|289
2:44 PM - 29 Nov 2015|Things see Walnut Creek pic twitter com yTrP2sbLH3|298|494
12:02 PM - 11 Dec 2015|The photos The Citadel repugnant Period No excuses The Confederate flag campus must come http www postandcourier com article 20151210 PC16 151219964|411|1.1K
